account,amount
5HNfX6wPCJJncJy4cf3CtLSWgBKfrNpanZZqMXvyUFDokZDi,5.2055
5GsmgkHZr4AQ1zrbUUcYQj4dbS13Vvsb9gCoyuPB7fJoRBNx,5.1481
5CafrrkWgwfTc21XbDm4zcAooHo4eazBV7bQhY1fPE84VXNC,5.081
5Eh4S6qsX3BbNRCKA5jw6SaXJGMBjEnznmYysqQfTLbgyrHy,5.0505
5E2GNwyw9QLjrCZ9R1WsPGSrVEisKrx9sR7rvvMytrrEkeXX,5.0075
5Cm224agNaRVjCBzdFNDPu9EAFG2xxXSyqZGYy6fd3ekZ5fd,4.9859
5EjZZoFEnyC22tuC988fcZGPh4Ab5yy4fbaQQzrLQunsAnrG,4.9794
5G48ekpPqoRiqfvwigQy6TTRuddE4V9yauEkWKtDnvGVxPLY,4.976
5ELUftyqe1WWQ2Smt6LfqGxgQLzLPi6GazQUSprL53337Cy1,4.9433
5FeE6YN5eYdCQsiM6uempBdXGrrwqEMgrddiT69MbuFoJBMu,4.8096
5GN2JtsaaNp6HKSKW4oRHNkQnaBL61U688YLrzjPorQaLcoL,4.8081
5Ci6pAFFf62VZvy1Th8D5Mn8nSksjkD4nonzGv8mJEoLYssA,4.7447
5Fk8SLoLuZFj6TXL2T8Ag4j2q88EZtz8MkJNgeD4m2KMDbN3,4.6246
5DPWNMNGs69FeUfd4iZ1611ro9uaz7b4DcW6iRwH7V2YGfYR,4.5701
5CoAgwWAhrruPc3xCYpNW6MarkbFJ7W6inxc4EV1avJneSSb,4.5224
5Fxm3ENrg6F4frN6gEpAxDWd4xeiaJQvFKbTb6UbbDZhnhGN,4.0988
5CiecnQqUoNJFZvLRZroLJ2iAmnQ1j9dAFYTEskSHVTdyfxq,3.933
5FA7uAx2Tc7GDBfTRvebWFDmTU3Pix3QFskXTxJ4iLtv2fS5,3.8864
5GHj5DF25uK85M4Uq29cSFVQMRkzHc1RmVXZPW4zf3NXf1c1,3.6596
5CoLEC18kVst2eiaVRyEaFiTeNkirxfAZcVt11Pa99KisSJU,3.5903
5G8tUoUFZioM72Z9iCFc3nLwerhUwGUtJtdKzd3AVayYFBNc,3.249
5HYhJrFWJXctF5zmZv5HNvpd6uvYp16eDmiZGSYVi9XyAGa4,3.2083
5CwH96prPzu6VJoYGeyggtWGanQuknBGa8dT6XWWG5Zi4q9o,2.9991
5CFc8rR1mQAwLKk8xFwsXeFNz5cGP5hCZkvRGoG9LRG6q445,2.5686
5DChP7do76JqUTqf1sm4X2g6QcdPN7NFzfVR3n29x5s9sTqN,2.5634
5HViozWPe9baii78P9CwCFkHJm1WUAHBK3iiE3JNBEGNLaeu,2.4255
5EvrswF5QnutusinhLtJB4Y5kg7QmFSfMCe7xMYiN9K1hwxJ,2.363
5EZnBTvKsiuRFzkAKVLTuFQw9UndsGU2fpyC6cxKeGWcnMYj,2.2951
5FtEEfxEdXX5nM5gekhuoWcwWfhW66TtDdcJiBDaCezpF6ex,2.269
5CaDvfqbomqH25xX3rkiobmRMfnNpDd6AZZJLM4EjcGLMmXd,2.1424
5E9UzCSq8srSzu22UxJ4tu2qZCydQqE9NivsJr1EpekvGjbg,2.0151
5CkDeGCK3weTH3ntg57nJts1SYtqoJ5bHXh8rS1wrvg7xNwA,1.4259
5H6jjmf4U6isgfZMRpJbPHfHy42nGjBbsYq9w2yeNudc5wLo,1.3438
5F3qrGLfuQywaH6yks66q6KN7wcsad1fpvTqKzqj7vUBUw2k,1.3277
5D9unxi3K6YX9uoQE1A69MAGNgtUuZUoZaXvrbde87VPQ2rd,1.1039
5H8YGxBPHA7dcmZApVs7AYhrs7A2debH2kKGQYM8oWHzspe1,1.1026
5CP84GrN9iEoKS2xgbwRcu5VzVuUG1WyZNRvgACfAVqA5ahW,0.9756
5Hb8492f5iwrNR1fLdA6m67AWj5j6VcCs7a6ipz5FJJ2snDt,0.9643
